dt,pickup_datetime,dt
2008-12-31,8,8
2009-01-01,18,18
2010-09-23,10,10
2013-06-01,5392,5392
2013-06-02,4438,4438
2013-06-03,4459,4459
2013-06-04,4744,4744
2013-06-05,4895,4895
2013-06-06,5303,5303
2013-06-07,5299,5299
2013-06-08,4866,4866
2013-06-09,4406,4406
2013-06-10,4775,4775
2013-06-11,4653,4653
2013-06-12,4934,4934
2013-06-13,5104,5104
2013-06-14,5056,5056
2013-06-15,4976,4976
2013-06-16,4171,4171
2013-06-17,4387,4387
2013-06-18,4698,4698
2013-06-19,4928,4928
2013-06-20,4950,4950
2013-06-21,5009,5009
2013-06-22,4703,4703
2013-06-23,4366,4366
2013-06-24,4363,4363
2013-06-25,4813,4813
2013-06-26,4918,4918
2013-06-27,5058,5058
2013-06-28,5039,5039
2013-06-29,4878,4878
2013-06-30,4274,4274
2013-07-01,4200,4200
2013-07-02,4392,4392
2013-07-03,4289,4289
2013-07-04,3318,3318
2013-07-05,3469,3469
2013-07-06,3509,3509
2013-07-07,3513,3513
2013-07-08,4222,4222
2013-07-09,4708,4708
2013-07-10,4732,4732
2013-07-11,5002,5002
2013-07-12,5045,5045
2013-07-13,4711,4711
2013-07-14,4374,4374
2013-07-15,4379,4379
2013-07-16,4665,4665
2013-07-17,4804,4804
2013-07-18,5105,5105
2013-07-19,5198,5198
2013-07-20,4877,4877
2013-07-21,4215,4215
2013-07-22,4362,4362
2013-07-23,4683,4683
2013-07-24,4787,4787
2013-07-25,4933,4933
2013-07-26,4819,4819
2013-07-27,4599,4599
2013-07-28,4273,4273
2013-07-29,4116,4116
2013-07-30,4485,4485
2013-07-31,4454,4454
2013-08-01,3052,3052
2013-08-02,2278,2278
2013-08-03,2299,2299
2013-08-04,2028,2028
2013-08-05,4047,4047
2013-08-06,4475,4475
2013-08-07,4595,4595
2013-08-08,4464,4464
2013-08-09,4887,4887
2013-08-10,4493,4493
2013-08-11,1999,1999
2013-08-12,3952,3952
2013-08-13,4449,4449
2013-08-14,4493,4493
2013-08-15,4759,4759
2013-08-16,4442,4442
2013-08-17,4498,4498
2013-08-18,3865,3865
2013-08-19,4005,4005
2013-08-20,4295,4295
2013-08-21,4598,4598
2013-08-22,4772,4772
2013-08-23,4713,4713
2013-08-24,4539,4539
2013-08-25,4014,4014
2013-08-26,3999,3999
2013-08-27,4285,4285
2013-08-28,4508,4508
2013-08-29,4574,4574
2013-08-30,4598,4598
2013-08-31,4377,4377
2013-09-01,3856,3856
2013-09-02,3406,3406
2013-09-03,4178,4178
2013-09-04,4535,4535
2013-09-05,4609,4609
2013-09-06,5235,5235
2013-09-07,5196,5196
2013-09-08,4693,4693
2013-09-09,4649,4649
2013-09-10,4896,4896
2013-09-11,5060,5060
2013-09-12,5070,5070
2013-09-13,5413,5413
2013-09-14,5307,5307
2013-09-15,4606,4606
2013-09-16,4538,4538
2013-09-17,4760,4760
2013-09-18,4966,4966
2013-09-19,5153,5153
2013-09-20,5355,5355
2013-09-21,5395,5395
2013-09-22,4649,4649
2013-09-23,4223,4223
2013-09-24,4506,4506
2013-09-25,4679,4679
2013-09-26,4879,4879
2013-09-27,5288,5288
2013-09-28,5343,5343
2013-09-29,4790,4790
2013-09-30,4326,4326
2013-10-01,4612,4612
2013-10-02,4910,4910
2013-10-03,5158,5158
2013-10-04,5498,5498
2013-10-05,5525,5525
2013-10-06,4733,4733
2013-10-07,4402,4402
2013-10-08,4718,4718
2013-10-09,5079,5079
2013-10-10,5294,5294
2013-10-11,5399,5399
2013-10-12,5516,5516
2013-10-13,4865,4865
2013-10-14,4225,4225
2013-10-15,4455,4455
2013-10-16,4995,4995
2013-10-17,5430,5430
2013-10-18,5489,5489
2013-10-19,5933,5933
2013-10-20,5048,5048
2013-10-21,4586,4586
2013-10-22,4934,4934
2013-10-23,5299,5299
2013-10-24,5629,5629
2013-10-25,5849,5849
2013-10-26,5699,5699
2013-10-27,5089,5089
2013-10-28,4743,4743
2013-10-29,4962,4962
2013-10-30,5142,5142
2013-10-31,5330,5330
2013-11-01,6114,6114
2013-11-02,6040,6040
2013-11-03,5213,5213
2013-11-04,4992,4992
2013-11-05,5237,5237
2013-11-06,5354,5354
2013-11-07,5602,5602
2013-11-08,5853,5853
